custID;name;ADDR1;ADDR2;city;state;zip;CUSTTYPEID;TYPENAME;Source
1;Haynes                      ;2920 Auctor; Road                     ;Moraga          ;AZ;70314;E;Education                     ;PEC
2;Rudyard-Knapp               ;;9261 Nulla Street         ;Sault Ste. Marie;LA;94298;S;State/Local Government        ;PEC
3;Baxter May                  ;;796-2366 Vel Avenue       ;Meriden         ;FL;58328;C;Commercial                    ;PEC
4;Maya Brewer                 ;P.O. Box 825; 6836 At                  ;Union City      ;ND;82051;S;State/Local Government        ;PEC
5;Mullins Inc                 ;;4009 Ornare Road          ;Birmingham      ;NE;59509;S;State/Local Government        ;PEC
6;Raphael Allison             ;;734-2598 Sed Avenue       ;La Crosse       ;HI;58702;C;Commercial                    ;PEC
7;Martin Donaldson            ;;2704 At Road              ;Gardner         ;GA;31421;E;Education                     ;PEC
8;Gemma Castro                ;;9101 Duis Street          ;Passaic         ;VT;40926;F;US Government                 ;PEC
9;The Product Company (East)  ;;20021 Barnes Road         ;Stratford       ;NY;13470;C;Commercial                    ;PEC
10;Hammett Farley              ;;1668 In Street            ;Yonkers         ;AK;18651;S;State/Local Government        ;PEC
11;Austin Ferrell              ;;8666 Justo Road           ;Pullman         ;PA;55979;C;Commercial                    ;PEC
12;Cain                        ;;1116 Augue Street         ;Warwick         ;DC;38450;S;State/Local Government        ;PEC
13;Knight                      ;;765 Eget Avenue           ;Eureka          ;FL;57500;F;US Government                 ;PEC
14;Serrano                     ;;7212 Eleifend Street      ;Princeton       ;KY;66785;C;Commercial                    ;PEC
15;Colton Maldonado            ;;1869 Leo Road             ;Cedar Rapids    ;SD;97640;C;Commercial                    ;PEC
16;Googol                      ;;5453 Dictum Avenue        ;Jenks           ;LA;96393;C;Commercial                    ;PEC
17;Mallory Lynch               ;;974 Nisl Road             ;Washington      ;ME;15623;F;US Government                 ;PEC
18;Melvin House                ;;8371 Nullam Road          ;Isle of Palms   ;ME;89644;E;Education                     ;PEC
19;Emerson Electric Co         ;;1792 Squash Drive         ;South Texarkana ;TX;75501;E;Education                     ;PEC
20;Pewter Gym                  ;;9028 Non Street           ;Sandy           ;FL;87202;C;Commercial                    ;PEC
21;Hop Adams                   ;;704 Nisl Road             ;Sun Valley      ;NH;84458;E;Education                     ;PEC
22;Xavier Harmon               ;;2285 Ante Street          ;Farmington      ;WV;16456;E;Education                     ;PEC
23;Cross                       ;;112 In Road               ;Opelousas       ;GA;43882;F;US Government                 ;PEC
24;Martinez Disposables        ;;5331 Nunc Avenue          ;Tucson          ;DC;79991;F;US Government                 ;PEC
25;Atkins                      ;;4607  Risus Road          ;Waukegan        ;NC;43147;S;State/Local Government        ;PEC
26;Dakota Mills                ;;7442 Amet Avenue          ;Syracuse        ;DE;56656;F;US Government                 ;PEC
27;Clare Baird                 ;6152 Auctor; Road                     ;Wilson          ;MS;29338;C;Commercial                    ;PEC
28;Schultz Learning            ;;8542 Quis Street          ;Spartanburg     ;ND;73217;E;Education                     ;PEC
29;Blevins                     ;;2571 Donec Avenue         ;Winooski        ;SD;65512;C;Commercial                    ;PEC
30;Knox Reid                   ;500 Eu; Avenue                   ;Pass Christian  ;WY;35949;C;Commercial                    ;PEC
31;Starfleet Academy           ;;3061 Donec Avenue         ;Canandaigua     ;UT;75963;E;Education                     ;PEC
32;Ferengi Treasures           ;;716-6837 Vulputate Avenue ;Paramount       ;NY;35644;C;Commercial                    ;PEC
33;Tallulah                    ;;3376 Aliquet Street       ;Batavia         ;NM;50742;C;Commercial                    ;PEC
34;The Product Company (West)  ;;21 E Bullard Avenue       ;Fresno          ;CA;93710;C;Commercial                    ;PEC
35;Ann Lee                     ;;3845 Nunc Road            ;Merizo          ;GA;10764;F;US Government                 ;PEC
36;Kuame Barnes                ;;8757 Tincidunt Road       ;Lahaina         ;RI;60529;F;US Government                 ;PEC
37;Beverly Equipment           ;;7581 Quisque Street       ;Bloomington     ;HI;88440;S;State/Local Government        ;PEC
38;Firstfed America Bancorp Inc;;5656 Settler Street       ;Ward Prairie    ;TX;75840;E;Education                     ;PEC
39;Ronan French                ;;8773 Feugiat Road         ;Gary            ;WA;17387;E;Education                     ;PEC
40;Zena Machines               ;;1277 Hendrerit Avenue     ;San Juan        ;WA;7066;S;State/Local Government        ;PEC
